model,mhc_class,condition,target,total_seconds,total_minutes,timing_source
af3,classI,with_msa_with_template,6zkw_pmhc_tcr,2536.78,42.28,sum_of_steps_from_out
af3,classI,with_msa_with_template,7n2p_pmhc_tcr,2330.78,38.846,sum_of_steps_from_out
af3,classI,with_msa_with_template,7n2r_pmhc_tcr,2619.18,43.653,sum_of_steps_from_out
af3,classI,with_msa_with_template,7n2s_pmhc_tcr,2541.8,42.363,sum_of_steps_from_out
af3,classI,with_msa_with_template,7n4k_pmhc_tcr,2594.04,43.234,sum_of_steps_from_out
af3,classI,with_msa_with_template,7n5c_pmhc_tcr,2557.95,42.632,sum_of_steps_from_out
af3,classI,with_msa_with_template,7n5p_pmhc_tcr,2595.36,43.256,sum_of_steps_from_out
af3,classI,with_msa_with_template,7na5_pmhc_tcr,2628.71,43.812,sum_of_steps_from_out
af3,classI,with_msa_with_template,7ndq_pmhc_tcr,10996.37,183.273,sum_of_steps_from_out
af3,classI,with_msa_with_template,7ndt_pmhc_tcr,2613.99,43.567,sum_of_steps_from_out
af3,classI,with_msa_with_template,6zkx_pmhc_tcr,2573.82,42.897,sum_of_steps_from_out
af3,classI,with_msa_with_template,7ndu_pmhc_tcr,11197.46,186.624,sum_of_steps_from_out
af3,classI,with_msa_with_template,7nme_pmhc_tcr,2605.38,43.423,sum_of_steps_from_out
af3,classI,with_msa_with_template,7nmf_pmhc_tcr,2697.12,44.952,sum_of_steps_from_out
af3,classI,with_msa_with_template,7nmg_pmhc_tcr,2553.37,42.556,sum_of_steps_from_out
af3,classI,with_msa_with_template,7ow5_pmhc_tcr,2683.34,44.722,sum_of_steps_from_out
af3,classI,with_msa_with_template,7ow6_pmhc_tcr,2558.1,42.635,sum_of_steps_from_out
af3,classI,with_msa_with_template,7pb2_pmhc_tcr,2687.95,44.799,sum_of_steps_from_out
af3,classI,with_msa_with_template,7pbe_pmhc_tcr,2616.43,43.607,sum_of_steps_from_out
af3,classI,with_msa_with_template,7phr_pmhc_tcr,2507.46,41.791,sum_of_steps_from_out
af3,classI,with_msa_with_template,7q99_pmhc_tcr,2606.74,43.446,sum_of_steps_from_out
af3,classI,with_msa_with_template,6zky_pmhc_tcr,2622.31,43.705,sum_of_steps_from_out
af3,classI,with_msa_with_template,7q9a_pmhc_tcr,2525.28,42.088,sum_of_steps_from_out
af3,classI,with_msa_with_template,7q9b_pmhc_tcr,2522.69,42.045,sum_of_steps_from_out
af3,classI,with_msa_with_template,7qpj_pmhc_tcr,2515.19,41.92,sum_of_steps_from_out
af3,classI,with_msa_with_template,7r80_pmhc_tcr,11261.46,187.691,sum_of_steps_from_out
af3,classI,with_msa_with_template,7rk7_pmhc_tcr,2563.68,42.728,sum_of_steps_from_out
af3,classI,with_msa_with_template,7rm4_pmhc_tcr,2532.2,42.203,sum_of_steps_from_out
af3,classI,with_msa_with_template,7rrg_pmhc_tcr,2513.42,41.89,sum_of_steps_from_out
af3,classI,with_msa_with_template,7rtr_pmhc_tcr,2620.2,43.67,sum_of_steps_from_out
af3,classI,with_msa_with_template,7su9_pmhc_tcr,2522.86,42.048,sum_of_steps_from_out
af3,classI,with_msa_with_template,6zkz_pmhc_tcr,2670.99,44.516,sum_of_steps_from_out
af3,classI,with_msa_with_template,8d5q_pmhc_tcr,2482.06,41.368,sum_of_steps_from_out
af3,classI,with_msa_with_template,8dnt_pmhc_tcr,2529.12,42.152,sum_of_steps_from_out
af3,classI,with_msa_with_template,8en8_pmhc_tcr,2659.01,44.317,sum_of_steps_from_out
