	id	DockQ	Fnat	iRMS	LRMS	pLDDT-cdr1a	pLDDT-cdr2a	pLDDT-cdr3a	pLDDT-cdr1b	pLDDT-cdr2b	pLDDT-cdr3b	pLDDT-cdr3a+cdr3b	pLDDT	pLDDT-mhc	pLDDT-pep	pLDDT-pmhc	pLDDT-tcr	RMSD-cdr1a	RMSD-cdr2a	RMSD-cdr3a	RMSD-cdr1b	RMSD-cdr2b	RMSD-cdr3b	RMSD-cdr3a+cdr3b	RMSD	RMSD-mhc	RMSD-pep	RMSD-pmhc	RMSD-tcr	true_pdb_path	pred_pdb_path	2021-09-30	rank
0	6zkw	0.035	0.0	19.739	25.445	69.85	86.02199999999999	62.653846153846146	59.84400000000001	49.573	54.156875	57.965862068965535	53.29315403422983	39.552888888888894	31.821111111111108	39.18470899470899	65.41359090909091	1.4985445	0.26704547	1.8781881	0.8159179	6.2959476	3.6904762	9.05238	22.274933	17.826433	1.894507	18.787174	16.61748	../../benchmark_data/class-i/pdb/6zkw_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/6zkw_pmhc_tcr.pdb	after	ranked_0
1	6zkx	0.014	0.0	15.542	45.383	68.32727272727273	85.40899999999999	59.47692307692308	55.754	48.403999999999996	50.484375	54.515517241379314	51.00318734793187	40.79681564245809	31.06416666666667	40.18534031413612	60.39504545454545	0.7715349	0.39752987	2.6911385	1.6480132	1.1682308	3.7860272	9.003075	22.161951	15.788837	2.5134861	16.319971	16.272066	../../benchmark_data/class-i/pdb/6zkx_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/6zkx_pmhc_tcr.pdb	after	ranked_0
2	6zky	0.013	0.0	17.455	46.177	72.02363636363636	85.56400000000001	61.88461538461539	58.724000000000004	44.801	55.68062499999999	58.461724137931036	50.20105392156862	38.150666666666666	26.900000000000002	37.67191489361702	60.90777272727272	0.67619056	0.43108898	2.373098	1.8954353	5.7553897	3.9152944	8.699793	20.88626	16.550396	1.9244878	16.557505	17.193943	../../benchmark_data/class-i/pdb/6zky_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/6zky_pmhc_tcr.pdb	after	ranked_0
3	6zkz	0.026	0.034	18.861	43.395	69.37272727272726	85.81800000000001	61.01076923076922	59.43599999999999	52.999	49.94	54.90275862068965	52.09068627450981	40.75361111111111	28.18625	40.21882978723404	62.235727272727274	0.5510213	0.26869693	2.5359814	1.8686105	2.3359053	3.2925782	9.587703	20.8881	11.592639	2.3466978	11.837811	16.297415	../../benchmark_data/class-i/pdb/6zkz_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/6zkz_pmhc_tcr.pdb	after	ranked_0
4	7dzm	0.018	0.0	16.628	39.38	52.72	56.11375	34.114	34.23199999999999	34.70727272727272	39.74	36.614444444444445	38.404999999999994	39.054833333333335	28.365555555555556	38.545820105820106	38.28235023041475	3.5524106	5.057237	4.5003657	2.1136677	4.9733887	4.577544	10.103989	21.303988	19.101978	4.177733	19.097351	16.374573	../../benchmark_data/class-i/pdb/7dzm_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/7dzm_pmhc_tcr.pdb	after	ranked_0
5	7dzn	0.029	0.048	17.777	45.615	38.01	44.881249999999994	35.56133333333333	33.825	33.96818181818182	37.95166666666666	36.623703703703704	39.39997530864198	44.30033519553072	30.188888888888886	43.62478723404255	35.739769585253455	3.598048	4.7704234	5.46983	2.2789605	4.515187	5.276116	10.659477	20.803148	11.356931	4.1009083	12.605483	15.936891	../../benchmark_data/class-i/pdb/7dzn_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/7dzn_pmhc_tcr.pdb	after	ranked_0
6	7l1d	0.009	0.0	22.043	57.375	71.01	80.2188888888889	58.86	85.423	86.957	64.19157894736843	62.025625000000005	58.67378973105134	38.61441988950276	50.72777777777778	39.188210526315785	75.57908675799086	1.0050645	0.25386623	1.5233879	0.2888337	0.25258374	5.6478624	8.363111	21.382246	13.556553	1.8038424	17.784006	15.222848	../../benchmark_data/class-i/pdb/7l1d_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/7l1d_pmhc_tcr.pdb	after	ranked_0
7	7n2n	0.029	0.018	18.046	33.116	75.18181818181819	83.556	53.46235294117646	71.24199999999999	83.234	47.55133333333334	50.6915625	58.21900726392252	49.5789502762431	30.90222222222222	48.69426315789474	66.3342600896861	0.45864204	0.42466924	1.1692476	0.59690547	0.19002655	8.242465	10.113106	17.905184	19.099575	2.0654387	18.92559	15.155836	../../benchmark_data/class-i/pdb/7n2n_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/7n2n_pmhc_tcr.pdb	after	ranked_0
8	7n2o	0.017	0.0	18.799	39.392	74.16272727272727	83.172	52.311764705882354	70.298	82.74600000000001	48.730666666666664	50.63312500000001	57.117481840193705	47.77729281767955	27.787777777777777	46.83042105263157	65.88224215246638	0.2617783	0.37403253	1.6852624	0.51556295	0.18064018	7.7399435	10.121021	20.860075	19.501612	1.5527328	19.322601	14.902503	../../benchmark_data/class-i/pdb/7n2o_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/7n2o_pmhc_tcr.pdb	after	ranked_0
9	7n2p	0.044	0.0	15.225	22.794	47.77181818181818	36.168	40.837272727272726	37.193999999999996	45.628	30.60333333333333	34.93307692307692	43.19692874692875	49.20403314917126	29.94888888888889	48.29194736842105	38.73585253456221	3.4787247	1.1722307	2.8391633	2.905342	0.2510723	3.6345723	7.5981483	21.14908	18.71997	2.1993053	18.597282	15.011065	../../benchmark_data/class-i/pdb/7n2p_pmhc_tcr.pdb	../pred_pdb/protenix_v1/pmhc_tcr/classI/classI_protenix_v1_no_msa/ranked_0/7n2p_pmhc_tcr.pdb	after	ranked_0
