pdb	model	condition	rank	status	dock_pred	dock_native	dock_err	inc_pred	inc_native	inc_err
6zkw	af3	msa	ranked_0	OK	55.37	57.14	1.77	15.61	18.99	3.38
6zkx	af3	msa	ranked_0	OK	50.55	54.69	4.14	12.68	13.69	1.01
6zky	af3	msa	ranked_0	OK	53.66	56.78	3.12	14.99	18.99	4.00
6zkz	af3	msa	ranked_0	OK	50.87	56.52	5.65	15.78	18.02	2.25
7dzm	af3	msa	ranked_0	OK	49.71	45.42	4.29	12.15	10.35	1.80
7dzn	af3	msa	ranked_0	OK	133.87	44.85	89.01	4.54	10.90	6.37
7l1d	af3	msa	ranked_0	OK	38.28	47.41	9.13	3.83	3.49	0.34
7n2n	af3	msa	ranked_0	OK	3.75	20.52	16.77	19.91	5.13	14.78
7n2o	af3	msa	ranked_0	OK	21.52	20.11	1.40	4.23	12.74	8.51
7n2p	af3	msa	ranked_0	OK	37.55	21.92	15.63	3.71	9.18	5.47
7n2q	af3	msa	ranked_0	OK	28.19	21.13	7.05	24.35	9.24	15.12
7n2r	af3	msa	ranked_0	OK	90.63	21.24	69.39	167.35	8.70	158.65
7n2s	af3	msa	ranked_0	OK	11.42	21.39	9.97	3.92	5.07	1.16
7n4k	af3	msa	ranked_0	OK	50.02	41.23	8.79	18.95	16.00	2.95
7n5c	af3	msa	ranked_0	OK	45.39	43.40	1.99	19.29	18.17	1.11
7n5p	af3	msa	ranked_0	OK	47.42	41.20	6.23	19.41	16.18	3.23
7na5	af3	msa	ranked_0	OK	28.32	58.96	30.64	31.75	14.97	16.78
7ndq	af3	msa	ranked_0	OK	93.06	76.89	16.17	32.00	19.03	12.97
7ndt	af3	msa	ranked_0	OK	40.31	33.86	6.46	5.91	7.29	1.38
7ndu	af3	msa	ranked_0	OK	80.92	76.62	4.30	26.46	20.08	6.39
7nme	af3	msa	ranked_0	OK	35.63	35.91	0.28	9.21	8.79	0.42
7nmf	af3	msa	ranked_0	OK	35.63	35.95	0.32	9.21	8.90	0.30
7nmg	af3	msa	ranked_0	OK	34.59	34.94	0.36	8.56	7.72	0.84
7ow5	af3	msa	ranked_0	OK	45.17	46.04	0.86	6.38	8.56	2.18
7ow6	af3	msa	ranked_0	OK	49.92	48.16	1.76	4.98	8.38	3.40
7pb2	af3	msa	ranked_0	OK	66.58	41.61	24.97	7.24	9.07	1.83
7pbe	af3	msa	ranked_0	OK	51.79	51.66	0.13	2.03	2.25	0.22
7phr	af3	msa	ranked_0	OK	36.31	42.98	6.67	7.29	5.35	1.93
7q99	af3	msa	ranked_0	OK	43.40	45.58	2.18	10.83	7.05	3.78
7q9a	af3	msa	ranked_0	OK	42.50	47.58	5.07	6.36	9.68	3.32
7q9b	af3	msa	ranked_0	OK	27.51	46.49	18.98	13.15	8.38	4.77
7qpj	af3	msa	ranked_0	OK	30.00	31.58	1.58	10.91	10.81	0.10
7r80	af3	msa	ranked_0	OK	148.75	17.50	131.25	19.87	11.89	7.98
7rk7	af3	msa	ranked_0	OK	77.67	80.75	3.08	4.57	16.46	11.90
7rm4	af3	msa	ranked_0	OK	83.18	35.33	47.85	28.62	18.89	9.73
