	id	DockQ	Fnat	iRMS	LRMS	pLDDT-cdr1a	pLDDT-cdr2a	pLDDT-cdr3a	pLDDT-cdr1b	pLDDT-cdr2b	pLDDT-cdr3b	pLDDT-cdr3a+cdr3b	pLDDT	pLDDT-mhc	pLDDT-pep	pLDDT-pmhc	pLDDT-tcr	RMSD-cdr1a	RMSD-cdr2a	RMSD-cdr3a	RMSD-cdr1b	RMSD-cdr2b	RMSD-cdr3b	RMSD-cdr3a+cdr3b	RMSD	RMSD-mhc	RMSD-pep	RMSD-pmhc	RMSD-tcr	true_pdb_path	pred_pdb_path	2021-09-30	rank
0	6zkw	0.031	0.052	16.004	45.978	71.26727272727273	81.828	48.60153846153845	71.14399999999999	73.957	64.5025	57.37448275862069	59.20643031784841	48.87755555555556	29.10777777777778	47.93613756613757	68.88863636363635	0.33165205	0.31373626	2.4093707	0.44698325	1.0288876	7.0524793	13.683835	24.767187	12.25323	2.9467075	12.737228	17.755976	../../benchmark_data/class-i/pdb/6zkw_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/6zkw_pmhc_tcr.pdb	after	ranked_0
1	6zkx	0.026	0.0	16.957	30.668	68.92727272727272	81.95899999999999	45.58538461538462	61.05	57.492	54.0825	50.27344827586207	54.57583941605839	48.107709497206706	25.8075	46.70664921465969	61.40772727272728	0.30827773	0.39361233	2.2680113	0.43059745	2.0343542	6.973686	6.477901	18.749083	10.942734	2.7696714	11.706497	14.908041	../../benchmark_data/class-i/pdb/6zkx_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/6zkx_pmhc_tcr.pdb	after	ranked_0
2	6zky	0.065	0.094	17.01	26.403	74.56090909090909	86.08800000000001	52.39615384615384	74.702	58.540000000000006	67.79937500000001	60.89448275862068	60.53024509803921	55.29361111111111	23.89875	53.95765957446809	66.14681818181818	0.3178389	0.37123019	2.9213438	0.30301318	0.9744074	7.0693145	7.8777437	15.216029	13.561293	1.9892796	13.638048	7.3992314	../../benchmark_data/class-i/pdb/6zky_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/6zky_pmhc_tcr.pdb	after	ranked_0
3	6zkz	0.016	0.0	18.409	41.252	86.66272727272728	92.966	77.34000000000002	76.136	70.623	70.124375	73.35896551724137	68.35485294117647	58.639833333333335	27.9675	57.334627659574465	77.77213636363636	0.37023562	0.2542154	1.1591079	0.5865256	2.2814138	6.8237543	7.6935854	22.071865	5.6550803	1.8695722	7.0010138	14.842731	../../benchmark_data/class-i/pdb/6zkz_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/6zkz_pmhc_tcr.pdb	after	ranked_0
4	7dzm	0.018	0.023	18.444	54.606	62.53416666666666	43.915	42.434666666666665	72.691	79.13090909090909	49.07833333333334	45.3874074074074	49.994679802955666	36.680388888888885	22.714444444444446	36.01534391534391	62.17023041474654	1.6353308	4.0524344	2.550058	0.37857988	0.28793108	0.7228364	7.182772	21.796314	19.835003	3.0525942	21.316792	10.350606	../../benchmark_data/class-i/pdb/7dzm_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/7dzm_pmhc_tcr.pdb	after	ranked_0
5	7dzn	0.053	0.095	17.715	34.912	70.41833333333334	44.625	53.102000000000004	73.076	80.74545454545454	49.58499999999999	51.538888888888884	54.36269135802469	42.096424581005586	23.65888888888889	41.213776595744676	65.75437788018432	1.7634437	4.081233	3.1552582	0.2461646	0.18748045	1.8103138	9.84924	20.45274	18.331663	3.402933	18.719255	15.3494	../../benchmark_data/class-i/pdb/7dzn_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/7dzn_pmhc_tcr.pdb	after	ranked_0
6	7l1d	0.012	0.014	22.092	64.424	84.10545454545455	92.29222222222222	72.87384615384615	91.878	91.33899999999998	65.11947368421052	68.26968749999999	69.56757946210269	50.24044198895028	34.621111111111105	49.50057894736842	86.97730593607305	0.43782145	0.3393346	2.4116793	0.2511745	0.22959077	4.2980866	5.940126	24.382048	13.156271	4.8520174	16.248802	3.329852	../../benchmark_data/class-i/pdb/7l1d_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/7l1d_pmhc_tcr.pdb	after	ranked_0
7	7n2n	0.011	0.0	15.121	56.846	83.67	81.322	65.04235294117646	73.48999999999998	40.29799999999999	65.044	65.04312499999999	54.84384987893463	34.56961325966851	23.439999999999998	34.04242105263158	72.56704035874439	0.22948642	0.3440097	1.2627244	0.44828987	3.696492	1.9774221	9.126777	20.631405	14.552548	1.4829034	14.513555	12.667032	../../benchmark_data/class-i/pdb/7n2n_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/7n2n_pmhc_tcr.pdb	after	ranked_0
8	7n2o	0.016	0.0	16.078	41.433	81.63545454545455	82.138	60.917647058823526	51.605000000000004	50.419	59.07133333333333	60.0521875	57.26406779661016	40.28596685082873	46.44222222222223	40.57757894736842	71.48125560538116	0.15029496	0.38315395	1.6236889	3.1057053	4.605897	8.193472	12.404234	21.56264	17.11749	1.882443	17.155594	15.653197	../../benchmark_data/class-i/pdb/7n2o_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/7n2o_pmhc_tcr.pdb	after	ranked_0
9	7n2p	0.063	0.0	13.255	18.46	81.80454545454546	84.381	74.5509090909091	88.596	85.995	75.17000000000002	74.90807692307692	62.01542997542998	35.50309392265193	24.906666666666666	35.00115789473684	85.6684792626728	0.21573661	0.36078125	0.7090443	0.19623499	0.19244331	0.6633435	0.87632287	11.850195	14.661072	1.8331943	14.848923	0.74278617	../../benchmark_data/class-i/pdb/7n2p_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_no_msa/ranked_0/7n2p_pmhc_tcr.pdb	after	ranked_0
