	id	DockQ	Fnat	iRMS	LRMS	pLDDT-cdr1a	pLDDT-cdr2a	pLDDT-cdr3a	pLDDT-cdr1b	pLDDT-cdr2b	pLDDT-cdr3b	pLDDT-cdr3a+cdr3b	pLDDT	pLDDT-mhc	pLDDT-pep	pLDDT-pmhc	pLDDT-tcr	RMSD-cdr1a	RMSD-cdr2a	RMSD-cdr3a	RMSD-cdr1b	RMSD-cdr2b	RMSD-cdr3b	RMSD-cdr3a+cdr3b	RMSD	RMSD-mhc	RMSD-pep	RMSD-pmhc	RMSD-tcr	true_pdb_path	pred_pdb_path	2021-09-30	rank
0	6zkw	0.502	0.672	2.994	6.456	95.38000000000001	95.67600000000002	95.61999999999999	97.72099999999999	96.03099999999998	95.725625	95.67827586206897	96.21410757946211	95.96027777777778	94.75666666666667	95.90296296296296	96.48140909090907	0.5612496	0.14373545	0.25793916	0.12546444	0.14485088	0.47029468	0.64003766	3.2426567	0.7729503	0.2351627	0.7625086	1.1046238	../../benchmark_data/class-i/pdb/6zkw_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/6zkw_pmhc_tcr.pdb	after	ranked_0
1	6zkx	0.533	0.464	2.025	4.485	86.95181818181817	87.671	84.6123076923077	90.385	81.776	80.480625	82.33275862068965	89.73581508515815	87.64379888268157	79.55499999999999	87.13560209424085	91.99327272727271	0.5023308	0.17566809	0.61927783	0.15723805	0.1255553	0.8444793	1.0717512	1.9023439	2.1450255	1.529749	2.1899147	0.90370864	../../benchmark_data/class-i/pdb/6zkx_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/6zkx_pmhc_tcr.pdb	after	ranked_0
2	6zky	0.712	0.717	1.352	3.33	89.11272727272727	90.304	88.91846153846153	93.381	86.6	85.35499999999999	86.95241379310346	93.21916666666667	93.29238888888891	83.9	92.89271276595744	93.49813636363635	0.5706455	0.24009891	0.5227324	0.17264588	0.18472338	0.6126908	0.9102963	1.3584255	0.6606699	2.2675197	0.94315195	0.9131777	../../benchmark_data/class-i/pdb/6zky_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/6zky_pmhc_tcr.pdb	after	ranked_0
3	6zkz	0.252	0.288	4.175	11.493	90.01363636363637	91.90199999999999	84.4076923076923	93.86800000000001	90.67699999999999	89.375625	87.14862068965516	94.25254901960784	94.90488888888889	92.53999999999999	94.80425531914892	93.7810909090909	0.37049192	0.14313813	2.2526393	0.21132013	0.15372247	2.453784	2.9125962	3.917157	0.8278088	2.3446617	1.0366794	1.8453993	../../benchmark_data/class-i/pdb/6zkz_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/6zkz_pmhc_tcr.pdb	after	ranked_0
4	7dzm	0.89	0.884	0.616	2.346	95.105	96.29374999999999	96.692	97.716	97.67272727272729	96.97249999999998	96.81666666666668	96.86068965517242	96.95716666666667	97.83888888888889	96.99915343915345	96.74009216589862	0.19064792	0.13060197	0.3377435	0.17270392	0.14051984	0.22832271	0.4123429	0.98861957	0.7239931	0.16275373	0.7097554	0.43628496	../../benchmark_data/class-i/pdb/7dzm_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7dzm_pmhc_tcr.pdb	after	ranked_0
5	7dzn	0.159	0.119	5.437	13.419	93.39083333333333	95.31625	88.78600000000002	95.27799999999999	94.05272727272727	91.85666666666668	90.15074074074074	95.42377777777777	96.04530726256984	89.31777777777776	95.72324468085107	95.16433179723501	0.17282908	0.16540688	0.9963619	0.1991224	0.16844887	0.58839774	1.1446294	5.4674163	0.53250134	1.1192194	0.58136994	1.0114824	../../benchmark_data/class-i/pdb/7dzn_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7dzn_pmhc_tcr.pdb	after	ranked_0
6	7l1d	0.46	0.405	3.519	3.972	88.11	93.76555555555555	81.63846153846156	93.23	92.72099999999999	77.67947368421054	79.2878125	93.92547677261614	96.60944751381216	88.88000000000001	96.2433157894737	91.91456621004566	0.5610037	0.29587588	1.0952978	0.23471555	0.23154067	3.9329817	5.2933517	2.7822337	0.51605296	0.5631912	0.5242027	2.9521284	../../benchmark_data/class-i/pdb/7l1d_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7l1d_pmhc_tcr.pdb	after	ranked_0
7	7n2n	0.21	0.158	3.74	12.012	87.65818181818182	88.58500000000001	80.98529411764706	93.48600000000002	89.601	85.62599999999999	83.160625	93.86697336561743	95.67198895027623	92.71555555555555	95.53194736842106	92.44838565022422	0.41998157	0.38783708	1.6255364	0.1507872	0.1875674	1.6729293	3.03811	4.2116594	0.36306313	0.57393336	0.38716507	1.6657258	../../benchmark_data/class-i/pdb/7n2n_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7n2n_pmhc_tcr.pdb	after	ranked_0
8	7n2o	0.708	0.712	1.35	3.422	93.8490909090909	95.055	88.41647058823528	95.653	93.929	93.28133333333332	90.69687499999999	95.6053995157385	96.84314917127072	96.42222222222223	96.82321052631578	94.56780269058297	0.31157675	0.21400002	1.242252	0.19601277	0.16815004	0.70830506	1.3981824	1.3539952	0.34214565	0.18593915	0.34792346	1.0029417	../../benchmark_data/class-i/pdb/7n2o_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7n2o_pmhc_tcr.pdb	after	ranked_0
9	7n2p	0.585	0.492	1.46	4.905	84.80181818181819	83.877	80.55090909090909	87.83399999999999	83.68499999999999	75.288	77.51461538461538	91.51488943488943	93.4771270718232	84.78888888888888	93.06557894736844	90.15714285714284	0.44634336	0.40468112	1.2669375	0.2716311	0.19079919	1.6769687	1.9978267	1.542269	0.45273307	0.6655747	0.47123837	1.0803856	../../benchmark_data/class-i/pdb/7n2p_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7n2p_pmhc_tcr.pdb	after	ranked_0
10	7n2q	0.364	0.424	2.809	9.474	81.90818181818182	80.516	79.38636363636363	87.334	81.96900000000001	72.69	75.52307692307693	90.71761670761668	92.6571270718232	85.79888888888888	92.33226315789474	89.30387096774194	0.41293958	0.3667595	1.4349278	0.1977205	0.22934526	1.8221958	1.9697404	3.164787	0.29800588	0.7078031	0.33591512	1.1317495	../../benchmark_data/class-i/pdb/7n2q_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7n2q_pmhc_tcr.pdb	after	ranked_0
11	7n2r	0.042	0.0	15.756	23.413	87.59818181818183	87.388	82.14454545454545	91.024	85.336	76.578	78.93307692307692	91.75793611793613	93.52298342541434	91.95222222222222	93.4485789473684	90.27764976958525	0.45982245	0.34349084	0.93270934	0.1852492	0.1591281	1.3829975	1.6963772	16.655565	0.45769662	0.60921484	0.4697464	0.90464675	../../benchmark_data/class-i/pdb/7n2r_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7n2r_pmhc_tcr.pdb	after	ranked_0
12	7n2s	0.256	0.379	4.615	13.205	84.75363636363636	85.768	79.11937499999999	87.095	84.89699999999999	79.80733333333335	79.45225806451612	91.88293689320389	93.59806629834254	86.26888888888887	93.2508947368421	90.71216216216216	1.305468	0.4289828	1.4062439	0.48690006	0.34447855	0.6165201	2.2260895	4.9181476	0.44471017	0.41153756	0.4502933	1.4526868	../../benchmark_data/class-i/pdb/7n2s_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7n2s_pmhc_tcr.pdb	after	ranked_0
13	7n4k	0.764	0.764	1.18	2.655	90.67	91.685	86.60461538461537	96.439	95.042	94.00454545454545	89.99624999999999	95.3486	95.85378531073448	96.19699999999999	95.87213903743314	94.88896713615024	0.19149335	0.77035016	0.8116966	0.44468623	0.12655781	0.7311376	0.84305674	1.3580631	1.4733264	0.19472615	1.4369994	0.7740118	../../benchmark_data/class-i/pdb/7n4k_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_template/ranked_0/7n4k_pmhc_tcr.pdb	after	ranked_0
