	id	DockQ	Fnat	iRMS	LRMS	pLDDT-cdr1a	pLDDT-cdr2a	pLDDT-cdr3a	pLDDT-cdr1b	pLDDT-cdr2b	pLDDT-cdr3b	pLDDT-cdr3a+cdr3b	pLDDT	pLDDT-mhc	pLDDT-pep	pLDDT-pmhc	pLDDT-tcr	RMSD-cdr1a	RMSD-cdr2a	RMSD-cdr3a	RMSD-cdr1b	RMSD-cdr2b	RMSD-cdr3b	RMSD-cdr3a+cdr3b	RMSD	RMSD-mhc	RMSD-pep	RMSD-pmhc	RMSD-tcr	true_pdb_path	pred_pdb_path	2021-09-30	rank
0	6zkw	0.283	0.431	4.875	12.039	89.31090909090909	90.43100000000001	85.04923076923076	91.99100000000001	84.449	81.356875	83.01206896551724	92.41799511002445	92.87583333333335	88.59555555555556	92.67201058201059	92.19977272727272	0.30940178	0.20833653	0.876374	0.15496118	0.16785528	0.6092863	1.1587312	5.685784	0.486289	0.19773792	0.47837314	1.2114742	../../benchmark_data/class-i/pdb/6zkw_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/6zkw_pmhc_tcr.pdb	after	ranked_0
1	6zkx	0.187	0.217	5.687	13.645	88.29545454545456	90.16499999999999	86.07615384615383	91.154	84.939	77.44375	81.31344827586207	90.68034063260342	89.88927374301676	78.74666666666667	89.18921465968586	91.9749090909091	0.29801995	0.18211819	0.97355235	0.21704426	0.14287002	0.6660145	1.6019812	6.5595407	1.5626113	1.2800379	1.5877273	1.2215648	../../benchmark_data/class-i/pdb/6zkx_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/6zkx_pmhc_tcr.pdb	after	ranked_0
2	6zky	0.482	0.528	2.611	5.975	93.53272727272726	93.065	93.92461538461538	95.64099999999999	94.47	85.453125	89.25068965517245	95.0097794117647	95.12244444444445	93.86500000000001	95.06893617021277	94.95922727272729	0.3593309	0.3331616	1.1011621	0.19241552	0.20469643	1.1559217	1.7384397	2.5077598	0.61429876	2.358398	0.8854972	1.0948057	../../benchmark_data/class-i/pdb/6zky_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/6zky_pmhc_tcr.pdb	after	ranked_0
3	6zkz	0.482	0.542	2.483	6.429	93.7781818181818	93.144	93.79230769230769	95.455	94.54	83.739375	88.24586206896552	95.01786764705882	95.25622222222222	93.57249999999999	95.18457446808509	94.8754090909091	0.3922388	0.1877473	1.0661355	0.1884418	0.16009001	0.8129924	1.6026064	2.4234786	0.6675298	2.4096112	0.9075579	1.0741223	../../benchmark_data/class-i/pdb/6zkz_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/6zkz_pmhc_tcr.pdb	after	ranked_0
4	7dzm	0.044	0.023	17.568	25.305	82.01333333333334	85.69875	69.83266666666668	87.89200000000001	80.8609090909091	82.34166666666667	75.39222222222223	89.89391625615764	90.59038888888888	84.92999999999999	90.32084656084656	89.5220737327189	0.17266771	0.10811023	1.4511702	0.22671674	0.2514053	0.45592678	1.3778458	15.041575	1.1139492	0.4597783	1.0950726	0.99471945	../../benchmark_data/class-i/pdb/7dzm_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7dzm_pmhc_tcr.pdb	after	ranked_0
5	7dzn	0.905	0.881	0.618	1.207	93.89416666666666	96.19	93.324	97.009	95.71454545454544	95.62833333333333	94.34814814814814	96.54814814814814	96.95782122905027	95.9188888888889	96.90808510638298	96.23631336405529	0.14482397	0.20677274	1.0380683	0.19103812	0.29737788	0.18988946	0.86591995	0.8108147	0.42367923	0.23444413	0.422486	0.71930987	../../benchmark_data/class-i/pdb/7dzn_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7dzn_pmhc_tcr.pdb	after	ranked_0
6	7l1d	0.657	0.635	1.474	3.879	83.95545454545454	86.20333333333333	75.5153846153846	85.967	85.52	60.8878947368421	66.83031249999999	90.20202933985331	93.27955801104972	79.37444444444445	92.62089473684212	88.10347031963468	0.5389416	0.3009118	0.58858544	0.3254956	0.26823363	1.7156656	1.5094646	1.7095274	0.618568	0.89816165	0.6546149	1.1727608	../../benchmark_data/class-i/pdb/7l1d_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7l1d_pmhc_tcr.pdb	after	ranked_0
7	7n2n	0.037	0.0	17.129	24.844	87.61090909090909	89.73299999999999	82.21882352941178	93.337	86.56	80.04666666666665	81.200625	92.72467312348668	94.28900552486186	95.57444444444444	94.34989473684212	91.33995515695068	0.46969765	0.32159692	1.2942107	0.21115242	0.13251953	1.4518405	2.260843	18.96618	0.3374004	0.13142209	0.3382349	1.4098102	../../benchmark_data/class-i/pdb/7n2n_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7n2n_pmhc_tcr.pdb	after	ranked_0
8	7n2o	0.039	0.0	16.355	24.255	86.11272727272727	86.76500000000001	83.1029411764706	89.197	85.87500000000001	74.35733333333334	79.00343749999999	91.78665859564164	93.4097237569061	90.3111111111111	93.26294736842105	90.52883408071747	0.2798255	0.31979728	1.4205956	0.16020541	0.13497528	1.3207695	1.7656974	19.152552	0.37202513	0.3342553	0.37555364	1.1631582	../../benchmark_data/class-i/pdb/7n2o_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7n2o_pmhc_tcr.pdb	after	ranked_0
9	7n2p	0.034	0.0	14.88	26.824	79.14363636363636	82.45700000000001	74.38363636363637	82.986	81.733	69.16733333333335	71.37423076923076	89.83611793611793	92.33270718232045	90.20444444444445	92.2318947368421	87.73843317972351	0.27267435	0.39032906	1.2420901	0.20362471	0.15302122	0.69296324	2.6703422	17.293463	0.44214928	0.237469	0.4457786	2.1795237	../../benchmark_data/class-i/pdb/7n2p_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7n2p_pmhc_tcr.pdb	after	ranked_0
10	7n2q	0.053	0.017	14.28	21.818	77.49636363636364	79.63899999999998	72.64999999999999	83.715	82.664	68.46466666666667	70.23538461538462	89.35164619164618	92.04486187845305	87.78444444444443	91.84305263157894	87.17023041474654	0.2674022	0.4169055	0.83993596	0.1991881	0.19900613	1.6018945	2.3941073	17.17318	0.4370207	0.54486424	0.44501388	1.3500739	../../benchmark_data/class-i/pdb/7n2q_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7n2q_pmhc_tcr.pdb	after	ranked_0
11	7n2r	0.053	0.017	14.457	21.998	77.69545454545455	80.17999999999999	71.68636363636364	82.45899999999999	81.29499999999999	66.52933333333334	68.71115384615385	89.02324324324326	91.78403314917126	88.52666666666667	91.62973684210525	86.74105990783409	0.26697543	0.36186534	0.8648363	0.1101693	0.3195376	1.091646	2.0503006	17.58467	0.36573943	0.18860641	0.36681214	1.3367821	../../benchmark_data/class-i/pdb/7n2r_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7n2r_pmhc_tcr.pdb	after	ranked_0
12	7n2s	0.693	0.682	1.381	3.502	91.02090909090909	92.036	86.3625	95.593	93.421	90.93799999999997	88.57645161290323	94.91432038834952	96.17983425414364	94.27444444444444	96.08957894736841	93.90846846846847	1.2618945	0.31276718	1.0131378	0.58645827	0.18218584	0.50211865	1.4128597	1.3916087	0.3724773	0.24698016	0.3790525	0.99868256	../../benchmark_data/class-i/pdb/7n2s_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7n2s_pmhc_tcr.pdb	after	ranked_0
13	7n4k	0.837	0.927	1.031	2.753	93.72083333333335	94.15375	91.59230769230771	95.933	94.457	94.4709090909091	92.91166666666668	95.91284999999999	95.94158192090393	96.326	95.96213903743315	95.86957746478873	0.105334066	0.72720575	0.47705877	0.3950815	0.15499808	0.27179092	0.43223724	1.4162321	1.4167701	0.20079309	1.3816373	0.7415114	../../benchmark_data/class-i/pdb/7n4k_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7n4k_pmhc_tcr.pdb	after	ranked_0
14	7n5c	0.749	0.719	1.049	3.475	89.6925	92.17625000000001	82.11538461538461	94.07000000000001	91.041	91.82818181818182	86.56708333333331	93.95042079207921	93.95397790055247	92.417	93.87350785340315	94.0193896713615	0.16109705	0.29101557	1.663481	0.4378404	0.1362355	0.28129825	1.5119946	1.795021	1.581241	0.22020817	1.5408707	0.81484413	../../benchmark_data/class-i/pdb/7n5c_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7n5c_pmhc_tcr.pdb	after	ranked_0
15	7n5p	0.845	0.864	0.874	2.414	94.5175	94.8275	94.13384615384615	96.562	95.348	95.40727272727273	94.71750000000002	96.47756892230578	96.54267045454547	97.167	96.57623655913979	96.39140845070423	0.14221299	0.29964143	0.49211082	0.41870323	0.13999897	0.30458933	0.46211836	1.1357629	1.0969051	0.25120696	1.0746647	0.59972435	../../benchmark_data/class-i/pdb/7n5p_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7n5p_pmhc_tcr.pdb	after	ranked_0
16	7na5	0.295	0.224	3.747	8.135	94.62727272727274	96.37	91.4718181818182	95.87199999999999	91.134	94.72466666666666	93.34846153846155	94.86434567901235	94.1377777777778	95.79666666666667	94.2167724867725	95.43097222222224	0.49622512	0.18174954	0.7868561	0.22793043	0.32666892	0.42414895	0.8339432	3.9674351	1.6923139	0.33561018	1.6552173	0.6301275	../../benchmark_data/class-i/pdb/7na5_pmhc_tcr.pdb	../pred_pdb/intellifold2/pmhc_tcr/classI/classI_v2_with_template/ranked_0/7na5_pmhc_tcr.pdb	after	ranked_0
