	id	DockQ	Fnat	iRMS	LRMS	pLDDT-cdr1a	pLDDT-cdr2a	pLDDT-cdr3a	pLDDT-cdr1b	pLDDT-cdr2b	pLDDT-cdr3b	pLDDT-cdr3a+cdr3b	pLDDT	pLDDT-mhc	pLDDT-pep	pLDDT-pmhc	pLDDT-tcr	RMSD-cdr1a	RMSD-cdr2a	RMSD-cdr3a	RMSD-cdr1b	RMSD-cdr2b	RMSD-cdr3b	RMSD-cdr3a+cdr3b	RMSD	RMSD-mhc	RMSD-pep	RMSD-pmhc	RMSD-tcr	true_pdb_path	pred_pdb_path	2021-09-30	rank
0	6zkw	0.027	0.0	16.646	29.984	80.72454545454545	78.852	68.0476923076923	76.505	62.107000000000006	55.879374999999996	61.33413793103449	55.79112469437653	30.966611111111114	19.884444444444444	30.438888888888894	77.57100000000001	0.40323722	0.1564247	1.1884422	0.28278643	1.7519497	1.9091446	2.6518264	20.766167	15.284719	2.348665	15.316973	2.898397	../../benchmark_data/class-i/pdb/6zkw_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/6zkw_pmhc_tcr.pdb	after	ranked_0
1	6zkx	0.053	0.014	11.304	22.308	72.61727272727272	77.247	79.75923076923075	79.39399999999999	61.35300000000001	66.6575	72.53068965517241	58.765498783454994	33.07765363128492	23.93166666666667	32.50303664921466	81.56609090909092	0.42724434	0.16216205	2.5534277	0.18946448	1.3057423	2.9806101	4.1909018	13.166675	17.054451	2.1121786	16.914171	2.4258828	../../benchmark_data/class-i/pdb/6zkx_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/6zkx_pmhc_tcr.pdb	after	ranked_0
2	6zky	0.024	0.0	17.388	32.215	77.53090909090909	74.554	74.57000000000001	77.043	65.252	64.004375	68.7406896551724	58.460245098039216	32.2265	26.1825	31.9693085106383	81.09795454545456	0.54981244	0.29890418	2.2360787	0.25159973	1.508403	3.0746832	3.7495487	17.665138	13.953989	2.768703	14.845937	2.0054033	../../benchmark_data/class-i/pdb/6zky_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/6zky_pmhc_tcr.pdb	after	ranked_0
3	6zkz	0.013	0.0	21.153	45.667	80.44090909090909	77.114	69.24153846153845	80.73100000000001	65.49399999999999	62.99625	65.7958620689655	56.1727205882353	30.575166666666664	22.67375	30.238936170212767	78.33431818181819	0.37733114	0.17453639	1.0460827	0.22004469	0.8723438	3.2436793	3.9129183	23.361263	18.043213	0.9702704	20.539776	4.5700893	../../benchmark_data/class-i/pdb/6zkz_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/6zkz_pmhc_tcr.pdb	after	ranked_0
4	7dzm	0.025	0.023	18.069	39.441	32.525	44.635000000000005	37.21933333333333	30.502	31.316363636363644	30.118333333333336	34.06333333333333	34.52748768472907	38.814277777777775	25.336666666666666	38.17248677248677	31.352811059907832	2.8163555	4.969643	3.7612262	2.4355211	7.8224497	4.755552	19.246464	27.480942	24.18225	4.182569	24.000443	18.823952	../../benchmark_data/class-i/pdb/7dzm_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/7dzm_pmhc_tcr.pdb	after	ranked_0
5	7dzn	0.02	0.024	16.942	49.961	62.171666666666674	62.86	31.281999999999996	47.253	35.68454545454545	27.182500000000005	29.459999999999997	36.007555555555555	32.77173184357542	19.697777777777777	32.14585106382979	39.3531797235023	3.717781	4.724802	3.7215712	2.111685	4.4677114	3.426224	11.962423	23.69507	20.908625	3.564258	22.04247	17.54505	../../benchmark_data/class-i/pdb/7dzn_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/7dzn_pmhc_tcr.pdb	after	ranked_0
6	7l1d	0.007	0.0	24.838	66.911	70.33636363636364	77.07	59.66692307692308	85.435	83.94300000000001	55.22105263157895	57.0271875	58.261442542787286	33.59845303867404	73.63888888888889	35.495105263157896	78.0130593607306	0.7238742	0.35345143	2.7488391	0.25059256	0.24477619	4.1913624	8.410419	24.169502	17.495157	1.6594331	22.15205	15.650911	../../benchmark_data/class-i/pdb/7l1d_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/7l1d_pmhc_tcr.pdb	after	ranked_0
7	7n2n	0.016	0.0	22.02	39.335	71.77181818181818	80.0	47.00705882352941	75.26500000000001	78.73000000000002	56.745999999999995	51.5721875	49.267990314769975	32.966187845303864	16.62	32.19189473684211	63.81713004484305	0.76650065	0.4244903	1.2555852	0.16616228	0.20465471	1.4744691	7.875591	22.010214	18.564873	1.9372019	21.67556	15.425307	../../benchmark_data/class-i/pdb/7n2n_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/7n2n_pmhc_tcr.pdb	after	ranked_0
8	7n2o	0.018	0.034	22.597	65.539	84.0090909090909	86.201	67.80411764705883	80.047	83.713	62.074	65.11812499999999	54.819007263922515	33.9267955801105	34.806666666666665	33.96847368421053	72.58403587443946	0.63149446	0.38715425	1.6049215	0.21808189	0.17701817	1.231409	8.687923	20.55399	14.391414	1.9305404	14.204465	15.408669	../../benchmark_data/class-i/pdb/7n2o_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/7n2o_pmhc_tcr.pdb	after	ranked_0
9	7n2p	0.012	0.016	22.451	66.792	71.71909090909092	78.18699999999998	64.82090909090908	86.78399999999999	85.37100000000001	66.63266666666667	65.86615384615385	56.40058968058968	30.920773480662984	16.470000000000002	30.236263157894733	79.3094470046083	0.40765008	0.39278847	1.136468	0.26701477	0.12331957	1.8381501	6.5028214	21.029602	12.526867	2.1150393	13.453884	15.688187	../../benchmark_data/class-i/pdb/7n2p_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/7n2p_pmhc_tcr.pdb	after	ranked_0
10	7n2q	0.027	0.051	20.413	54.054	71.88545454545455	78.831	62.099090909090904	86.48600000000002	85.44900000000001	65.32266666666668	63.95884615384615	55.96373464373465	30.127182320441992	21.32222222222222	29.710105263157896	78.95078341013824	0.34395438	0.41202077	1.2330028	0.21774293	0.18300569	1.4092414	3.2066262	23.359835	19.350471	2.8053439	20.836826	5.88874	../../benchmark_data/class-i/pdb/7n2q_pmhc_tcr.pdb	../pred_pdb/af3/pmhc_tcr/classI/results_classI_no_msa_no_template/ranked_0/7n2q_pmhc_tcr.pdb	after	ranked_0
