model,mhc_class,condition,target,sample,ranking_score,is_best_ranked,iptm,ptm,n_chains,ptm_mhc,ptm_pep,ptm_mhcb,ptm_tcra,ptm_tcrb,cp_mhc_pep,cp_mhca_mhcb,cp_mhcb_pep,cp_mhc_tcra,cp_mhc_tcrb,cp_pep_tcra,cp_pep_tcrb,cp_mhcb_tcra,cp_mhcb_tcrb,cp_tcra_tcrb,mean_tcr_pmhc_iptm,chain_pair_iptm
af3,classI,with_msa_with_template,6zkw_pmhc_tcr,3,0.8357368427452604,True,0.82,0.85,4,0.9,0.03,,0.88,0.89,0.92,,,0.74,0.74,0.73,0.68,,,0.88,0.7225,"[[0.9, 0.92, 0.74, 0.74], [0.92, 0.03, 0.73, 0.68], [0.74, 0.73, 0.88, 0.88], [0.74, 0.68, 0.88, 0.89]]"
af3,classI,with_msa_with_template,6zkw_pmhc_tcr,4,0.827074381375185,False,0.81,0.85,4,0.9,0.03,,0.88,0.89,0.92,,,0.72,0.72,0.72,0.68,,,0.87,0.7100000000000001,"[[0.9, 0.92, 0.72, 0.72], [0.92, 0.03, 0.72, 0.68], [0.72, 0.72, 0.88, 0.87], [0.72, 0.68, 0.87, 0.89]]"
af3,classI,with_msa_with_template,6zkw_pmhc_tcr,2,0.8219456700126703,False,0.8,0.84,4,0.91,0.03,,0.88,0.89,0.92,,,0.72,0.7,0.7,0.65,,,0.88,0.6925,"[[0.91, 0.92, 0.72, 0.7], [0.92, 0.03, 0.7, 0.65], [0.72, 0.7, 0.88, 0.88], [0.7, 0.65, 0.88, 0.89]]"
af3,classI,with_msa_with_template,6zkw_pmhc_tcr,0,0.8184805086239211,False,0.8,0.84,4,0.9,0.03,,0.88,0.89,0.92,,,0.69,0.71,0.7,0.67,,,0.87,0.6924999999999999,"[[0.9, 0.92, 0.69, 0.71], [0.92, 0.03, 0.7, 0.67], [0.69, 0.7, 0.88, 0.87], [0.71, 0.67, 0.87, 0.89]]"
af3,classI,with_msa_with_template,6zkw_pmhc_tcr,1,0.8097700403084928,False,0.79,0.83,4,0.91,0.03,,0.88,0.89,0.92,,,0.7,0.67,0.68,0.62,,,0.88,0.6675000000000001,"[[0.91, 0.92, 0.7, 0.67], [0.92, 0.03, 0.68, 0.62], [0.7, 0.68, 0.88, 0.88], [0.67, 0.62, 0.88, 0.89]]"
af3,classI,with_msa_with_template,6zkx_pmhc_tcr,2,0.6766025634832079,True,0.65,0.72,4,0.86,0.02,,0.87,0.89,0.86,,,0.48,0.49,0.43,0.4,,,0.86,0.44999999999999996,"[[0.86, 0.86, 0.48, 0.49], [0.86, 0.02, 0.43, 0.4], [0.48, 0.43, 0.87, 0.86], [0.49, 0.4, 0.86, 0.89]]"
af3,classI,with_msa_with_template,6zkx_pmhc_tcr,3,0.6103691993455662,False,0.58,0.68,4,0.87,0.02,,0.87,0.89,0.85,,,0.35,0.36,0.31,0.29,,,0.86,0.3275,"[[0.87, 0.85, 0.35, 0.36], [0.85, 0.02, 0.31, 0.29], [0.35, 0.31, 0.87, 0.86], [0.36, 0.29, 0.86, 0.89]]"
af3,classI,with_msa_with_template,6zkx_pmhc_tcr,0,0.6052037487577991,False,0.57,0.67,4,0.86,0.02,,0.87,0.89,0.85,,,0.34,0.36,0.31,0.29,,,0.86,0.325,"[[0.86, 0.85, 0.34, 0.36], [0.85, 0.02, 0.31, 0.29], [0.34, 0.31, 0.87, 0.86], [0.36, 0.29, 0.86, 0.89]]"
af3,classI,with_msa_with_template,6zkx_pmhc_tcr,4,0.602062053492234,False,0.57,0.67,4,0.87,0.02,,0.86,0.89,0.85,,,0.34,0.36,0.3,0.29,,,0.85,0.3225,"[[0.87, 0.85, 0.34, 0.36], [0.85, 0.02, 0.3, 0.29], [0.34, 0.3, 0.86, 0.85], [0.36, 0.29, 0.85, 0.89]]"
af3,classI,with_msa_with_template,6zkx_pmhc_tcr,1,0.5844336461943744,False,0.55,0.66,4,0.86,0.02,,0.87,0.88,0.85,,,0.3,0.31,0.27,0.26,,,0.85,0.28500000000000003,"[[0.86, 0.85, 0.3, 0.31], [0.85, 0.02, 0.27, 0.26], [0.3, 0.27, 0.87, 0.85], [0.31, 0.26, 0.85, 0.88]]"
af3,classI,with_msa_with_template,6zky_pmhc_tcr,2,0.7162257909552767,True,0.69,0.76,4,0.91,0.02,,0.88,0.89,0.87,,,0.55,0.53,0.5,0.46,,,0.86,0.51,"[[0.91, 0.87, 0.55, 0.53], [0.87, 0.02, 0.5, 0.46], [0.55, 0.5, 0.88, 0.86], [0.53, 0.46, 0.86, 0.89]]"
af3,classI,with_msa_with_template,6zky_pmhc_tcr,1,0.7106439672196105,False,0.69,0.76,4,0.9,0.02,,0.88,0.89,0.88,,,0.54,0.49,0.49,0.44,,,0.86,0.49,"[[0.9, 0.88, 0.54, 0.49], [0.88, 0.02, 0.49, 0.44], [0.54, 0.49, 0.88, 0.86], [0.49, 0.44, 0.86, 0.89]]"
af3,classI,with_msa_with_template,6zky_pmhc_tcr,4,0.6979445113189123,False,0.67,0.75,4,0.9,0.02,,0.88,0.89,0.87,,,0.53,0.51,0.45,0.43,,,0.86,0.48,"[[0.9, 0.87, 0.53, 0.51], [0.87, 0.02, 0.45, 0.43], [0.53, 0.45, 0.88, 0.86], [0.51, 0.43, 0.86, 0.89]]"
af3,classI,with_msa_with_template,6zky_pmhc_tcr,3,0.6862672068427857,False,0.66,0.74,4,0.9,0.02,,0.87,0.89,0.87,,,0.49,0.46,0.44,0.41,,,0.86,0.44999999999999996,"[[0.9, 0.87, 0.49, 0.46], [0.87, 0.02, 0.44, 0.41], [0.49, 0.44, 0.87, 0.86], [0.46, 0.41, 0.86, 0.89]]"
af3,classI,with_msa_with_template,6zky_pmhc_tcr,0,0.6323607144876406,False,0.6,0.7,4,0.9,0.02,,0.88,0.89,0.86,,,0.41,0.39,0.34,0.32,,,0.86,0.36500000000000005,"[[0.9, 0.86, 0.41, 0.39], [0.86, 0.02, 0.34, 0.32], [0.41, 0.34, 0.88, 0.86], [0.39, 0.32, 0.86, 0.89]]"
af3,classI,with_msa_with_template,6zkz_pmhc_tcr,2,0.7373622522837623,True,0.71,0.78,4,0.9,0.03,,0.88,0.89,0.91,,,0.58,0.58,0.56,0.54,,,0.86,0.565,"[[0.9, 0.91, 0.58, 0.58], [0.91, 0.03, 0.56, 0.54], [0.58, 0.56, 0.88, 0.86], [0.58, 0.54, 0.86, 0.89]]"
af3,classI,with_msa_with_template,6zkz_pmhc_tcr,4,0.7251268492027148,False,0.7,0.77,4,0.9,0.03,,0.88,0.88,0.91,,,0.56,0.57,0.54,0.52,,,0.86,0.5475,"[[0.9, 0.91, 0.56, 0.57], [0.91, 0.03, 0.54, 0.52], [0.56, 0.54, 0.88, 0.86], [0.57, 0.52, 0.86, 0.88]]"
